# chinese医学知识三元组
# 总计: 787 条

(人参, 功效, 气血不足)
(甘草, 治疗, 胸闷)
(甘草, 治疗, 腹泻)
(甘草, 治疗, 腹胀)
(甘草, 配伍, 甘草)
(痰湿, 对应, 糖尿病)
(痰湿, 对应, 肝炎)
(痰湿, 对应, 肺炎)
(痰湿, 对应, 高血压)
(痰湿, 症候表现, 乏力)
(痰湿, 症候表现, 便秘)
(痰湿, 症候表现, 发热)
(痰湿, 症候表现, 呕吐)
(痰湿, 症候表现, 咳嗽)
(痰湿, 症候表现, 失眠)
(痰湿, 症候表现, 头晕)
(痰湿, 症候表现, 心悸)
(痰湿, 症候表现, 恶心)
(痰湿, 症候表现, 疼痛)
(痰湿, 症候表现, 胸闷)
(痰湿, 症候表现, 腹胀)
(白术, 功效, 气血不足)
(白术, 功效, 痰湿)
(白术, 功效, 肝郁)
(白术, 功效, 肾阳虚)
(白术, 功效, 肾阴虚)
(白术, 功效, 脾气虚)
(白术, 功效, 脾胃虚弱)
(白术, 功效, 血瘀)
(白术, 功效, 阴虚火旺)
(白术, 治疗, 乏力)
(白术, 治疗, 便秘)
(白术, 治疗, 发热)
(白术, 治疗, 呕吐)
(白术, 治疗, 咳嗽)
(白术, 治疗, 失眠)
(白术, 治疗, 头晕)
(白术, 治疗, 心悸)
(白术, 治疗, 恶心)
(白术, 治疗, 疼痛)
(白术, 治疗, 胸闷)
(白术, 治疗, 腹泻)
(白术, 治疗, 腹胀)
(白术, 配伍, 当归)
(白术, 配伍, 白术)
(白术, 配伍, 黄芩)
(白芍, 功效, 气血不足)
(白芍, 功效, 肝郁)
(白芍, 功效, 肾阳虚)
(白芍, 功效, 肾阴虚)
(白芍, 功效, 脾气虚)
(白芍, 功效, 脾胃虚弱)
(白芍, 功效, 血瘀)
(白芍, 功效, 阴虚火旺)
(白芍, 治疗, 乏力)
(白芍, 治疗, 便秘)
(白芍, 治疗, 发热)
(白芍, 治疗, 呕吐)
(白芍, 治疗, 咳嗽)
(白芍, 治疗, 失眠)
(白芍, 治疗, 头晕)
(白芍, 治疗, 心悸)
(白芍, 治疗, 恶心)
(白芍, 治疗, 疼痛)
(白芍, 治疗, 腹泻)
(白芍, 治疗, 腹胀)
(白芍, 配伍, 柴胡)
(白芍, 配伍, 白芍)
(白芍, 配伍, 茯苓)
(糖尿病, 并发症, 糖尿病)
(糖尿病, 并发症, 高血压)
(糖尿病, 表现为, 乏力)
(糖尿病, 表现为, 便秘)
(糖尿病, 表现为, 出汗)
(糖尿病, 表现为, 发热)
(糖尿病, 表现为, 呕吐)
(糖尿病, 表现为, 咳嗽)
(糖尿病, 表现为, 失眠)
(糖尿病, 表现为, 头晕)
(糖尿病, 表现为, 心悸)
(糖尿病, 表现为, 恶心)
(糖尿病, 表现为, 疼痛)
(糖尿病, 表现为, 胸闷)
(糖尿病, 表现为, 腹泻)
(糖尿病, 表现为, 腹胀)
(肝炎, 并发症, 肝炎)
(肝炎, 并发症, 肺炎)
(肝炎, 表现为, 乏力)
(肝炎, 表现为, 便秘)
(肝炎, 表现为, 发热)
(肝炎, 表现为, 呕吐)
(肝炎, 表现为, 咳嗽)
(肝炎, 表现为, 失眠)
(肝炎, 表现为, 头晕)
(肝炎, 表现为, 心悸)
(肝炎, 表现为, 恶心)
(肝炎, 表现为, 疼痛)
(肝炎, 表现为, 胸闷)
(肝炎, 表现为, 腹泻)
(肝炎, 表现为, 腹胀)
(肝病, 并发症, 肝炎)
(肝病, 表现为, 乏力)
(肝病, 表现为, 咳嗽)
(肝病, 表现为, 失眠)
(肝病, 表现为, 头晕)
(肝病, 表现为, 疼痛)
(肝病, 表现为, 腹胀)
(肝郁, 对应, 肝炎)
(肝郁, 对应, 肝病)
(肝郁, 对应, 胃炎)
(肝郁, 对应, 高血压)
(肝郁, 症候表现, 乏力)
(肝郁, 症候表现, 便秘)
(肝郁, 症候表现, 发热)
(肝郁, 症候表现, 呕吐)
(肝郁, 症候表现, 咳嗽)
(肝郁, 症候表现, 失眠)
(肝郁, 症候表现, 头晕)
(肝郁, 症候表现, 心悸)
(肝郁, 症候表现, 恶心)
(肝郁, 症候表现, 疼痛)
(肝郁, 症候表现, 胸闷)
(肝郁, 症候表现, 腹泻)
(肝郁, 症候表现, 腹胀)
(肠炎, 表现为, 乏力)
(肠炎, 表现为, 便秘)
(肠炎, 表现为, 发热)
(肠炎, 表现为, 呕吐)
(肠炎, 表现为, 咳嗽)
(肠炎, 表现为, 失眠)
(肠炎, 表现为, 心悸)
(肠炎, 表现为, 恶心)
(肠炎, 表现为, 疼痛)
(肠炎, 表现为, 胸闷)
(肠炎, 表现为, 腹泻)
(肠炎, 表现为, 腹胀)
(肺炎, 并发症, 肺炎)
(肺炎, 并发症, 贫血)
(肺炎, 表现为, 乏力)
(肺炎, 表现为, 便秘)
(肺炎, 表现为, 发热)
(肺炎, 表现为, 呕吐)
(肺炎, 表现为, 咳嗽)
(肺炎, 表现为, 头晕)
(肺炎, 表现为, 恶心)
(肺炎, 表现为, 疼痛)
(肺炎, 表现为, 胸闷)
(肺炎, 表现为, 腹泻)
(肾炎, 并发症, 肾炎)
(肾炎, 并发症, 贫血)
(肾炎, 并发症, 高血压)
(肾炎, 表现为, 乏力)
(肾炎, 表现为, 便秘)
(肾炎, 表现为, 发热)
(肾炎, 表现为, 呕吐)
(肾炎, 表现为, 咳嗽)
(肾炎, 表现为, 失眠)
(肾炎, 表现为, 恶心)
(肾炎, 表现为, 疼痛)
(肾炎, 表现为, 胸闷)
(肾炎, 表现为, 腹泻)
(肾炎, 表现为, 腹胀)
(肾阳虚, 对应, 心脏病)
(肾阳虚, 对应, 肠炎)
(肾阳虚, 对应, 肾炎)
(肾阳虚, 对应, 贫血)
(肾阳虚, 对应, 高血压)
(肾阳虚, 症候表现, 乏力)
(肾阳虚, 症候表现, 便秘)
(肾阳虚, 症候表现, 发热)
(肾阳虚, 症候表现, 呕吐)
(肾阳虚, 症候表现, 咳嗽)
(肾阳虚, 症候表现, 失眠)
(肾阳虚, 症候表现, 头晕)
(肾阳虚, 症候表现, 心悸)
(肾阳虚, 症候表现, 疼痛)
(肾阳虚, 症候表现, 胸闷)
(肾阳虚, 症候表现, 腹泻)
(肾阳虚, 症候表现, 腹胀)
(肾阴虚, 对应, 糖尿病)
(肾阴虚, 对应, 肝炎)
(肾阴虚, 对应, 肝病)
(肾阴虚, 对应, 肾炎)
(肾阴虚, 对应, 贫血)
(肾阴虚, 对应, 高血压)
(肾阴虚, 症候表现, 乏力)
(肾阴虚, 症候表现, 便秘)
(肾阴虚, 症候表现, 发热)
(肾阴虚, 症候表现, 咳嗽)
(肾阴虚, 症候表现, 失眠)
(肾阴虚, 症候表现, 头晕)
(肾阴虚, 症候表现, 心悸)
(肾阴虚, 症候表现, 疼痛)
(肾阴虚, 症候表现, 胸闷)
(肾阴虚, 症候表现, 腹胀)
(胃溃疡, 表现为, 便秘)
(胃溃疡, 表现为, 发热)
(胃溃疡, 表现为, 呕吐)
(胃溃疡, 表现为, 咳嗽)
(胃溃疡, 表现为, 失眠)
(胃溃疡, 表现为, 心悸)
(胃溃疡, 表现为, 恶心)
(胃溃疡, 表现为, 腹泻)
(胃溃疡, 表现为, 腹胀)
(胃炎, 并发症, 胃炎)
(胃炎, 并发症, 贫血)
(胃炎, 表现为, 乏力)
(胃炎, 表现为, 便秘)
(胃炎, 表现为, 出汗)
(胃炎, 表现为, 发热)
(胃炎, 表现为, 呕吐)
(胃炎, 表现为, 咳嗽)
(胃炎, 表现为, 失眠)
(胃炎, 表现为, 头晕)
(胃炎, 表现为, 恶心)
(胃炎, 表现为, 疼痛)
(胃炎, 表现为, 胸闷)
(胃炎, 表现为, 腹泻)
(胃炎, 表现为, 腹胀)
(胃病, 表现为, 乏力)
(胃病, 表现为, 便秘)
(胃病, 表现为, 呕吐)
(胃病, 表现为, 咳嗽)
(胃病, 表现为, 失眠)
(胃病, 表现为, 心悸)
(胃病, 表现为, 恶心)
(胃病, 表现为, 疼痛)
(胃病, 表现为, 腹泻)
(胃病, 表现为, 腹胀)
(脾气虚, 对应, 肺炎)
(脾气虚, 对应, 胃炎)
(脾气虚, 症候表现, 乏力)
(脾气虚, 症候表现, 便秘)
(脾气虚, 症候表现, 发热)
(脾气虚, 症候表现, 咳嗽)
(脾气虚, 症候表现, 失眠)
(脾气虚, 症候表现, 头晕)
(脾气虚, 症候表现, 心悸)
(脾气虚, 症候表现, 恶心)
(脾气虚, 症候表现, 疼痛)
(脾气虚, 症候表现, 腹泻)
(脾气虚, 症候表现, 腹胀)
(脾胃虚弱, 对应, 糖尿病)
(脾胃虚弱, 对应, 肝炎)
(脾胃虚弱, 对应, 肠炎)
(脾胃虚弱, 对应, 肺炎)
(脾胃虚弱, 对应, 胃溃疡)
(脾胃虚弱, 对应, 胃炎)
(脾胃虚弱, 对应, 贫血)
(脾胃虚弱, 症候表现, 乏力)
(脾胃虚弱, 症候表现, 便秘)
(脾胃虚弱, 症候表现, 发热)
(脾胃虚弱, 症候表现, 呕吐)
(脾胃虚弱, 症候表现, 咳嗽)
(脾胃虚弱, 症候表现, 失眠)
(脾胃虚弱, 症候表现, 头晕)
(脾胃虚弱, 症候表现, 心悸)
(脾胃虚弱, 症候表现, 恶心)
(脾胃虚弱, 症候表现, 疼痛)
(脾胃虚弱, 症候表现, 胸闷)
(脾胃虚弱, 症候表现, 腹泻)
(脾胃虚弱, 症候表现, 腹胀)
(茯苓, 功效, 气血不足)
(茯苓, 功效, 痰湿)
(茯苓, 功效, 肾阳虚)
(茯苓, 功效, 肾阴虚)
(茯苓, 功效, 脾气虚)
(茯苓, 功效, 脾胃虚弱)
(茯苓, 功效, 血瘀)
(茯苓, 功效, 阴虚火旺)
(茯苓, 治疗, 乏力)
(茯苓, 治疗, 便秘)
(茯苓, 治疗, 发热)
(茯苓, 治疗, 呕吐)
(茯苓, 治疗, 咳嗽)
(茯苓, 治疗, 失眠)
(茯苓, 治疗, 头晕)
(茯苓, 治疗, 心悸)
(茯苓, 治疗, 恶心)
(茯苓, 治疗, 疼痛)
(茯苓, 治疗, 胸闷)
(茯苓, 治疗, 腹泻)
(茯苓, 治疗, 腹胀)
(茯苓, 配伍, 半夏)
(茯苓, 配伍, 白术)
(茯苓, 配伍, 茯苓)
(葛根汤, 主治, 肠炎)
(葛根汤, 主治, 肺炎)
(葛根汤, 主治, 高血压)
(葛根汤, 包含, 人参)
(葛根汤, 包含, 半夏)
(葛根汤, 包含, 川芎)
(葛根汤, 包含, 当归)
(葛根汤, 包含, 柴胡)
(葛根汤, 包含, 甘草)
(葛根汤, 包含, 白术)
(葛根汤, 包含, 白芍)
(葛根汤, 包含, 茯苓)
(葛根汤, 包含, 黄芩)
(葛根汤, 包含, 黄芪)
(葛根汤, 包含, 黄连)
(血瘀, 对应, 糖尿病)
(血瘀, 对应, 肝炎)
(血瘀, 对应, 肝病)
(血瘀, 对应, 肾炎)
(血瘀, 对应, 胃炎)
(血瘀, 对应, 胃病)
(血瘀, 对应, 贫血)
(血瘀, 对应, 高血压)
(血瘀, 症候表现, 乏力)
(血瘀, 症候表现, 便秘)
(血瘀, 症候表现, 发热)
(血瘀, 症候表现, 呕吐)
(血瘀, 症候表现, 咳嗽)
(血瘀, 症候表现, 失眠)
(血瘀, 症候表现, 头晕)
(血瘀, 症候表现, 心悸)
(血瘀, 症候表现, 恶心)
(血瘀, 症候表现, 疼痛)
(血瘀, 症候表现, 胸闷)
(血瘀, 症候表现, 腹胀)
(补中益气汤, 主治, 肝炎)
(补中益气汤, 主治, 肠炎)
(补中益气汤, 主治, 胃病)
(补中益气汤, 主治, 贫血)
(补中益气汤, 包含, 人参)
(补中益气汤, 包含, 党参)
(补中益气汤, 包含, 半夏)
(补中益气汤, 包含, 川芎)
(补中益气汤, 包含, 当归)
(补中益气汤, 包含, 枸杞)
(补中益气汤, 包含, 柴胡)
(补中益气汤, 包含, 甘草)
(补中益气汤, 包含, 白术)
(补中益气汤, 包含, 白芍)
(补中益气汤, 包含, 茯苓)
(补中益气汤, 包含, 黄芩)
(补中益气汤, 包含, 黄芪)
(补中益气汤, 包含, 黄连)
(补中益气汤, 治疗, 气血不足)
(补中益气汤, 治疗, 脾气虚)
(补中益气汤, 治疗, 脾胃虚弱)
(贫血, 并发症, 贫血)
(贫血, 并发症, 高血压)
(贫血, 表现为, 乏力)
(贫血, 表现为, 便秘)
(贫血, 表现为, 出汗)
(贫血, 表现为, 发热)
(贫血, 表现为, 呕吐)
(贫血, 表现为, 咳嗽)
(贫血, 表现为, 失眠)
(贫血, 表现为, 头晕)
(贫血, 表现为, 心悸)
(贫血, 表现为, 恶心)
(贫血, 表现为, 疼痛)
(贫血, 表现为, 胸闷)
(贫血, 表现为, 腹泻)
(贫血, 表现为, 腹胀)
(逍遥散, 主治, 肝炎)
(逍遥散, 主治, 胃炎)
(逍遥散, 包含, 人参)
(逍遥散, 包含, 党参)
(逍遥散, 包含, 半夏)
(逍遥散, 包含, 川芎)
(逍遥散, 包含, 当归)
(逍遥散, 包含, 柴胡)
(逍遥散, 包含, 甘草)
(逍遥散, 包含, 白术)
(逍遥散, 包含, 白芍)
(逍遥散, 包含, 茯苓)
(逍遥散, 包含, 黄芩)
(逍遥散, 包含, 黄连)
(逍遥散, 治疗, 肝郁)
(逍遥散, 治疗, 肾阴虚)
(阴虚火旺, 对应, 糖尿病)
(阴虚火旺, 对应, 胃病)
(阴虚火旺, 对应, 贫血)
(阴虚火旺, 症候表现, 乏力)
(阴虚火旺, 症候表现, 便秘)
(阴虚火旺, 症候表现, 发热)
(阴虚火旺, 症候表现, 呕吐)
(阴虚火旺, 症候表现, 咳嗽)
(阴虚火旺, 症候表现, 失眠)
(阴虚火旺, 症候表现, 头晕)
(阴虚火旺, 症候表现, 心悸)
(阴虚火旺, 症候表现, 疼痛)
(阿司匹林, 成分, 党参)
(阿司匹林, 成分, 川芎)
(阿司匹林, 成分, 柴胡)
(阿司匹林, 治疗, 心脏病)
(阿司匹林, 治疗, 肝炎)
(阿司匹林, 治疗, 胃溃疡)
(阿司匹林, 治疗, 贫血)
(阿司匹林, 治疗, 高血压)
(阿司匹林, 缓解, 乏力)
(阿司匹林, 缓解, 出汗)
(阿司匹林, 缓解, 发热)
(阿司匹林, 缓解, 头晕)
(阿司匹林, 缓解, 疼痛)
(阿莫西林, 治疗, 心脏病)
(阿莫西林, 缓解, 发热)
(阿莫西林, 缓解, 咳嗽)
(阿莫西林, 缓解, 疼痛)
(青霉素, 成分, 黄连)
(青霉素, 治疗, 心脏病)
(青霉素, 治疗, 肺炎)
(青霉素, 缓解, 发热)
(青霉素, 缓解, 呕吐)
(青霉素, 缓解, 咳嗽)
(青霉素, 缓解, 恶心)
(青霉素, 缓解, 疼痛)
(高血压, 并发症, 糖尿病)
(高血压, 并发症, 贫血)
(高血压, 并发症, 高血压)
(高血压, 表现为, 乏力)
(高血压, 表现为, 便秘)
(高血压, 表现为, 发热)
(高血压, 表现为, 呕吐)
(高血压, 表现为, 咳嗽)
(高血压, 表现为, 失眠)
(高血压, 表现为, 头晕)
(高血压, 表现为, 心悸)
(高血压, 表现为, 恶心)
(高血压, 表现为, 疼痛)
(高血压, 表现为, 胸闷)
(高血压, 表现为, 腹泻)
(高血压, 表现为, 腹胀)
(麻黄汤, 主治, 糖尿病)
(麻黄汤, 主治, 肺炎)
(麻黄汤, 包含, 人参)
(麻黄汤, 包含, 半夏)
(麻黄汤, 包含, 川芎)
(麻黄汤, 包含, 柴胡)
(麻黄汤, 包含, 甘草)
(麻黄汤, 包含, 白术)
(麻黄汤, 包含, 茯苓)
(麻黄汤, 包含, 黄芩)
(麻黄汤, 包含, 黄连)
(麻黄汤, 治疗, 痰湿)
(麻黄汤, 治疗, 肾阳虚)
(黄芩, 功效, 痰湿)
(黄芩, 功效, 肝火旺盛)
(黄芩, 功效, 肝郁)
(黄芩, 功效, 肾阳虚)
(黄芩, 功效, 肾阴虚)
(黄芩, 功效, 脾胃虚弱)
(黄芩, 功效, 血瘀)
(黄芩, 功效, 阴虚火旺)
(黄芩, 治疗, 便秘)
(黄芩, 治疗, 发热)
(黄芩, 治疗, 呕吐)
(黄芩, 治疗, 咳嗽)
(黄芩, 治疗, 失眠)
(黄芩, 治疗, 头晕)
(黄芩, 治疗, 胸闷)
(黄芩, 治疗, 腹泻)
(黄芩, 治疗, 腹胀)
(黄芩, 配伍, 半夏)
(黄芩, 配伍, 茯苓)
(黄芩, 配伍, 黄芩)
(黄芩, 配伍, 黄芪)
(黄芩, 配伍, 黄连)
(黄芪, 功效, 气血不足)
(黄芪, 功效, 肾阳虚)
(黄芪, 功效, 肾阴虚)
(黄芪, 功效, 脾气虚)
(黄芪, 功效, 脾胃虚弱)
(黄芪, 功效, 血瘀)
(黄芪, 功效, 阴虚火旺)
(黄芪, 治疗, 乏力)
(黄芪, 治疗, 便秘)
(黄芪, 治疗, 出汗)
(黄芪, 治疗, 发热)
(黄芪, 治疗, 呕吐)
(黄芪, 治疗, 咳嗽)
(黄芪, 治疗, 失眠)
(黄芪, 治疗, 头晕)
(黄芪, 治疗, 心悸)
(黄芪, 治疗, 疼痛)
(黄芪, 治疗, 胸闷)
(黄芪, 治疗, 腹胀)
(黄芪, 配伍, 人参)
(黄芪, 配伍, 党参)
(黄芪, 配伍, 当归)
(黄芪, 配伍, 黄芪)
(黄连, 功效, 痰湿)
(黄连, 功效, 肝郁)
(黄连, 功效, 肾阳虚)
(黄连, 功效, 肾阴虚)
(黄连, 功效, 脾胃虚弱)
(黄连, 功效, 阴虚火旺)
(黄连, 治疗, 乏力)
(黄连, 治疗, 便秘)
(黄连, 治疗, 发热)
(黄连, 治疗, 呕吐)
(黄连, 治疗, 咳嗽)
(黄连, 治疗, 失眠)
(黄连, 治疗, 头晕)
(黄连, 治疗, 心悸)
(黄连, 治疗, 恶心)
(黄连, 治疗, 疼痛)
(黄连, 治疗, 胸闷)
(黄连, 治疗, 腹泻)
(黄连, 治疗, 腹胀)
(黄连, 配伍, 半夏)
