# western医学知识三元组
# 总计: 167 条

(人参, 治疗, 失眠)
(甘草, 功效, 血瘀)
(甘草, 治疗, 心悸)
(甘草, 治疗, 胸闷)
(甘草, 治疗, 腹胀)
(甘草, 配伍, 甘草)
(痰湿, 对应, 肾炎)
(痰湿, 对应, 高血压)
(痰湿, 症候表现, 头晕)
(痰湿, 症候表现, 心悸)
(痰湿, 症候表现, 腹泻)
(白术, 功效, 肝郁)
(白术, 功效, 肾阳虚)
(白术, 功效, 肾阴虚)
(白术, 功效, 脾气虚)
(白术, 功效, 脾胃虚弱)
(白术, 功效, 血瘀)
(白术, 治疗, 乏力)
(白术, 治疗, 便秘)
(白术, 治疗, 失眠)
(白术, 治疗, 腹泻)
(白术, 治疗, 腹胀)
(白术, 配伍, 茯苓)
(白芍, 功效, 肝郁)
(白芍, 治疗, 乏力)
(白芍, 治疗, 腹胀)
(糖尿病, 并发症, 高血压)
(肝炎, 表现为, 乏力)
(肝病, 表现为, 便秘)
(肝郁, 症候表现, 乏力)
(肝郁, 症候表现, 便秘)
(肝郁, 症候表现, 胸闷)
(肝郁, 症候表现, 腹胀)
(肠炎, 表现为, 疼痛)
(肠炎, 表现为, 腹泻)
(肺炎, 表现为, 咳嗽)
(肾炎, 表现为, 乏力)
(肾炎, 表现为, 发热)
(肾阳虚, 对应, 糖尿病)
(肾阳虚, 对应, 肠炎)
(肾阳虚, 对应, 肾炎)
(肾阳虚, 对应, 高血压)
(肾阳虚, 症候表现, 乏力)
(肾阳虚, 症候表现, 呕吐)
(肾阳虚, 症候表现, 心悸)
(肾阳虚, 症候表现, 腹泻)
(肾阴虚, 对应, 肾炎)
(肾阴虚, 对应, 高血压)
(胃溃疡, 表现为, 疼痛)
(胃炎, 并发症, 胃炎)
(胃炎, 表现为, 失眠)
(胃炎, 表现为, 疼痛)
(胃炎, 表现为, 腹胀)
(脾气虚, 对应, 肾炎)
(脾气虚, 症候表现, 乏力)
(脾气虚, 症候表现, 头晕)
(脾胃虚弱, 对应, 肠炎)
(脾胃虚弱, 对应, 胃炎)
(脾胃虚弱, 对应, 胃病)
(脾胃虚弱, 症候表现, 乏力)
(脾胃虚弱, 症候表现, 腹胀)
(茯苓, 功效, 肝郁)
(茯苓, 功效, 肾阳虚)
(茯苓, 功效, 肾阴虚)
(茯苓, 功效, 脾气虚)
(茯苓, 功效, 脾胃虚弱)
(茯苓, 功效, 血瘀)
(茯苓, 治疗, 乏力)
(茯苓, 治疗, 失眠)
(茯苓, 治疗, 心悸)
(茯苓, 治疗, 腹胀)
(茯苓, 配伍, 茯苓)
(血瘀, 对应, 肾炎)
(血瘀, 对应, 高血压)
(血瘀, 症候表现, 疼痛)
(血瘀, 症候表现, 腹胀)
(补中益气汤, 包含, 白术)
(贫血, 表现为, 乏力)
(贫血, 表现为, 呕吐)
(贫血, 表现为, 头晕)
(贫血, 表现为, 心悸)
(贫血, 表现为, 腹泻)
(逍遥散, 包含, 人参)
(逍遥散, 包含, 当归)
(逍遥散, 包含, 柴胡)
(逍遥散, 包含, 甘草)
(逍遥散, 包含, 白术)
(逍遥散, 包含, 白芍)
(逍遥散, 包含, 茯苓)
(逍遥散, 治疗, 肝郁)
(青霉素, 成分, 黄芪)
(青霉素, 治疗, 肺炎)
(高血压, 表现为, 乏力)
(高血压, 表现为, 失眠)
(高血压, 表现为, 头晕)
(高血压, 表现为, 心悸)
(黄芪, 功效, 肝郁)
(黄芪, 功效, 肾阳虚)
(黄芪, 功效, 脾气虚)
(黄芪, 功效, 血瘀)
(黄芪, 治疗, 乏力)
(黄芪, 治疗, 失眠)
(黄芪, 治疗, 腹胀)
(黄连, 功效, 痰湿)
(黄连, 功效, 肾阳虚)
(黄连, 功效, 阴虚火旺)
(黄连, 配伍, 茯苓)
